;gen;indv;callf;scores
10;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 15.0, 42.5, 22.5, 43.75, 22.5], [11.51, 0.44, 25.23, 20.36, 34.09, 41.17], 1);";0,0
11;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 15.0, 32.5, 22.5, 43.75, 22.5], [4.43, 0.44, 25.23, 20.36, 34.09, 41.17], 1);";0,0
12;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 2, 3, 0], [38.75, 15.0, 45.0, 30.0, 32.5, 43.75], [7.97, 2.66, 18.15, 27.01, 35.42, 34.53], 3);";15,0
13;gen1;[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(4.0, 45.5, 18, [3, 1, 3, 3, 0, 0], [30.0, 17.5, 32.5, 22.5, 43.75, 22.5], [4.74, 0.47, 28.91, 21.8, 36.49, 44.08], 1);";21,0
14;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 15.0, 32.5, 22.5, 41.25, 22.5], [4.43, 0.44, 25.23, 20.36, 34.09, 41.17], 1);";1,0
15;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 15.0, 32.5, 22.5, 43.75, 22.5], [4.43, 0.44, 25.23, 20.36, 34.09, 41.17], 1);";0,0
16;gen1;[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(2.0, 42.5, 16, [3, 0, 0, 0, 3, 0], [38.75, 25.0, 30.0, 25.0, 22.5, 46.25], [14.17, 12.4, 21.69, 15.49, 38.07, 35.42], 0);";0,0
17;gen1;[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0];"ADS_drawLogP(4.0, 45.5, 22, [0, 3, 2, 1, 1, 2], [23.75, 17.5, 32.5, 22.5, 43.75, 22.5], [4.74, 0.47, 27.02, 29.39, 36.49, 44.08], 0);";31,0
18;gen1;[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(3.33, 44.0, 22, [0, 3, 2, 0, 1, 2], [23.75, 17.5, 40.0, 25.0, 22.5, 46.25], [14.67, 12.83, 22.46, 16.04, 39.42, 36.67], 0);";8,0
19;gen1;[1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];"ADS_drawLogP(4.0, 45.5, 21, [0, 3, 1, 1, 1, 1], [30.0, 37.5, 37.5, 40.0, 37.5, 33.75], [1.9, 7.11, 18.01, 24.65, 38.86, 34.6], 3);";0,0
