;gen;indv;callf;scores
0;gen0;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0];"ADS_drawLogP(1.67, 41.5, 23, [3, 3, 2, 2, 0, 1], [42.5, 40.0, 25.0, 43.75, 33.75, 32.5], [5.62, 9.94, 26.8, 18.16, 28.53, 39.34], 0);";2,0
1;gen0;[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0];"ADS_drawLogP(3.33, 39.5, 17, [3, 2, 0, 1, 2, 3], [32.5, 31.25, 10.0, 33.75, 23.75, 18.75], [7.41, 10.7, 26.33, 25.1, 29.62, 32.09], 2);";0,0
2;gen0;[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1];"ADS_drawLogP(2.67, 45.0, 18, [1, 3, 0, 0, 2, 1], [12.5, 41.25, 41.25, 32.5, 41.25, 46.25], [11.72, 9.84, 24.38, 18.28, 33.75, 42.66], 1);";13,0
3;gen0;[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1];"ADS_drawLogP(3.66, 41.0, 14, [1, 1, 1, 1, 2, 0], [36.25, 27.5, 32.5, 45.0, 15.0, 22.5], [13.24, 6.83, 15.37, 25.62, 40.15, 32.46], 1);";12,0
4;gen0;[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1];"ADS_drawLogP(3.66, 44.0, 17, [1, 0, 1, 0, 1, 1], [26.25, 38.75, 25.0, 21.25, 16.25, 18.75], [5.96, 9.17, 16.04, 15.58, 30.25, 31.62], 1);";0,0
5;gen0;[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1];"ADS_drawLogP(3.0, 40.5, 22, [0, 3, 3, 1, 0, 2], [38.75, 25.0, 37.5, 28.75, 33.75, 30.0], [7.17, 11.81, 16.88, 18.14, 35.02, 27.84], 3);";0,0
6;gen0;[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0];"ADS_drawLogP(2.67, 45.0, 17, [1, 2, 1, 0, 0, 0], [46.25, 23.75, 31.25, 45.0, 23.75, 20.0], [7.03, 15.0, 29.06, 23.91, 40.31, 42.66], 2);";9,0
7;gen0;[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0];"ADS_drawLogP(3.66, 44.5, 19, [3, 2, 1, 2, 1, 2], [35.0, 37.5, 36.25, 28.75, 21.25, 22.5], [11.12, 0.46, 23.18, 23.64, 32.45, 31.98], 0);";11,0
8;gen0;[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1];"ADS_drawLogP(3.33, 45.0, 10, [2, 1, 2, 2, 3, 0], [46.25, 23.75, 30.0, 26.25, 47.5, 46.25], [11.25, 3.28, 22.03, 16.41, 42.66, 43.59], 1);";0,0
9;gen0;[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1];"ADS_drawLogP(2.0, 39.5, 25, [0, 3, 3, 3, 0, 3], [20.0, 47.5, 33.75, 47.5, 43.75, 47.5], [4.94, 7.82, 13.58, 20.57, 37.03, 29.62], 3);";0,0
