;gen;indv;callf;scores
10;gen1;[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1];"ADS_drawLogP(3.0, 44.0, 25, [2, 0, 1, 3, 1, 0], [16.25, 32.5, 12.5, 30.0, 16.25, 23.75], [8.71, 11.0, 26.58, 18.33, 41.25, 39.42], 3);";13,0
11;gen1;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1];"ADS_drawLogP(4.0, 41.0, 23, [0, 3, 2, 2, 0, 2], [27.5, 47.5, 45.0, 40.0, 45.0, 22.5], [9.4, 6.83, 18.36, 16.23, 29.04, 35.02], 3);";14,0
12;gen1;[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];"ADS_drawLogP(3.33, 40.5, 19, [1, 1, 3, 0, 0, 2], [41.25, 42.5, 45.0, 46.25, 38.75, 30.0], [0.84, 12.66, 19.83, 19.83, 28.69, 40.5], 0);";0,0
13;gen1;[0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1];"ADS_drawLogP(2.67, 44.5, 19, [3, 0, 1, 2, 1, 1], [18.75, 42.5, 41.25, 30.0, 46.25, 41.25], [1.39, 8.34, 16.69, 19.93, 33.84, 37.08], 3);";0,0
14;gen1;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0];"ADS_drawLogP(4.0, 41.0, 22, [1, 3, 1, 1, 3, 0], [47.5, 33.75, 17.5, 16.25, 21.25, 26.25], [9.82, 6.41, 16.66, 22.64, 32.46, 35.02], 0);";4,0
15;gen1;[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1];"ADS_drawLogP(3.0, 45.5, 19, [0, 3, 2, 2, 0, 2], [27.5, 47.5, 45.0, 45.0, 45.0, 22.5], [10.43, 3.79, 19.91, 18.48, 42.66, 40.76], 3);";13,0
16;gen1;[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1];"ADS_drawLogP(3.33, 40.5, 19, [3, 0, 1, 2, 1, 1], [18.75, 42.5, 31.25, 30.0, 36.25, 41.25], [1.27, 7.59, 15.19, 18.14, 30.8, 33.75], 3);";0,0
17;gen1;[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];"ADS_drawLogP(3.0, 45.5, 19, [3, 2, 1, 1, 3, 0], [47.5, 33.75, 12.5, 16.25, 21.25, 26.25], [10.9, 7.11, 18.48, 25.12, 36.02, 40.76], 0);";0,0
18;gen1;[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1];"ADS_drawLogP(3.0, 47.0, 18, [1, 3, 1, 1, 3, 0], [47.5, 33.75, 17.5, 16.25, 21.25, 26.25], [11.26, 7.34, 23.01, 25.95, 37.21, 42.1], 3);";13,0
19;gen1;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0];"ADS_drawLogP(4.0, 41.0, 23, [0, 3, 2, 2, 0, 2], [27.5, 47.5, 45.0, 45.0, 45.0, 22.5], [9.4, 6.83, 17.94, 16.66, 38.44, 36.73], 0);";0,0
