;gen;indv;callf;scores
0;gen0;[0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1];"ADS_drawLogP(2.67, 39.5, 20, [3, 3, 3, 0, 1, 0], [43.75, 42.5, 46.25, 10.0, 25.0, 38.75], [5.35, 4.11, 18.93, 22.22, 34.97, 27.16], 3);";29,0
1;gen0;[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1];"ADS_drawLogP(1.67, 40.5, 18, [0, 3, 2, 0, 2, 2], [22.5, 31.25, 21.25, 35.0, 45.0, 46.25], [6.75, 5.91, 18.56, 22.78, 29.11, 27.42], 1);";12,0
2;gen0;[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0];"ADS_drawLogP(2.67, 47.0, 21, [3, 1, 2, 2, 3, 0], [37.5, 26.25, 48.75, 31.25, 13.75, 13.75], [3.92, 13.22, 23.01, 29.86, 38.19, 34.27], 2);";0,0
3;gen0;[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];"ADS_drawLogP(3.33, 46.0, 13, [0, 2, 1, 1, 3, 2], [15.0, 21.25, 46.25, 31.25, 41.25, 30.0], [13.9, 6.23, 16.29, 18.21, 39.77, 42.65], 2);";0,0
4;gen0;[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0];"ADS_drawLogP(2.67, 41.0, 11, [0, 2, 2, 2, 3, 2], [17.5, 46.25, 13.75, 28.75, 43.75, 16.25], [9.4, 13.24, 23.06, 18.36, 29.47, 38.44], 2);";0,0
5;gen0;[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1];"ADS_drawLogP(2.33, 44.0, 20, [0, 3, 3, 2, 1, 2], [40.0, 13.75, 32.5, 27.5, 15.0, 47.5], [5.5, 5.5, 17.88, 28.88, 38.5, 39.88], 1);";6,0
6;gen0;[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1];"ADS_drawLogP(3.66, 41.5, 19, [0, 2, 1, 2, 0, 3], [26.25, 40.0, 22.5, 37.5, 11.25, 30.0], [12.97, 12.1, 20.75, 21.61, 40.64, 32.85], 1);";0,0
7;gen0;[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1];"ADS_drawLogP(3.33, 43.0, 25, [0, 1, 0, 0, 3, 3], [26.25, 47.5, 40.0, 20.0, 36.25, 43.75], [10.3, 12.99, 27.77, 20.6, 41.66, 35.83], 3);";0,0
8;gen0;[0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1];"ADS_drawLogP(2.33, 45.5, 17, [3, 2, 2, 3, 0, 2], [18.75, 28.75, 16.25, 36.25, 32.5, 21.25], [13.74, 2.37, 29.86, 24.17, 40.29, 41.23], 1);";13,0
9;gen0;[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1];"ADS_drawLogP(3.0, 39.5, 17, [3, 2, 1, 3, 2, 0], [42.5, 40.0, 15.0, 45.0, 25.0, 23.75], [10.7, 4.94, 16.05, 15.22, 37.85, 37.44], 1);";6,0
